StatementID,BankAccount,IBAN,BankName,TxnDate,ValueDate,Currency,Amount,DebitCreditIndicator,Description,BankReference,EndToEndRef,RemittanceInfo,MatchType
STM00000001,FR7614508059144921279050070,FR7614508059144921279050070,ANZ,2026-02-06,2026-02-06,USD,224063.34,C,SEPA credit transfer,BNK797004578,REF23695123,SEPA credit transfer,amountDiff
STM00000002,FR7614508059144921279050070,FR7614508059144921279050070,HSBC,2026-02-01,2026-02-03,CAD,460484.27,C,Equity sale proceeds,BNK982273285,REF58745469,Equity sale proceeds,amountDiff
STM00000003,FR7614508059144921279050070,FR7614508059144921279050070,Credit Suisse,2026-02-13,2026-02-17,AUD,371240.43,D,Intercompany transfer out,BNK299055985,REF10402146,Intercompany transfer out,amountDiff
STM00000004,US123456789012345678,US123456789012345678,ANZ,2026-03-05,2026-03-09,CHF,344364.05,D,FX contract payment,BNK752064550,REF16288690,FX contract payment,amountDiff
STM00000005,GB29NWBK60161331926819,GB29NWBK60161331926819,Deutsche Bank,2026-03-30,2026-04-01,JPY,5096.33,C,Deposit received,BNK611307449,REF47159683,Deposit received,amountDiff
STM00000006,AU123456789012345,AU123456789012345,ING,2026-01-13,2026-01-13,USD,7364.18,C,Customer advance payment,BNK544063425,REF61402944,Customer advance payment,amountDiff
STM00000007,DE89370400440532013000,DE89370400440532013000,Barclays,2026-03-23,2026-03-26,CHF,34711.81,D,Service fee payment,BNK827873612,REF35069005,Service fee payment,amountDiff
STM00000008,AU123456789012345,AU123456789012345,JP Morgan,2026-01-05,2026-01-08,CHF,9270.07,C,Sales proceeds,BNK480073239,REF91233492,Sales proceeds,amountDiff
STM00000009,FR7614508059144921279050070,FR7614508059144921279050070,Bank of America,2026-03-22,2026-03-25,GBP,494636.41,C,Loan drawdown,BNK784559534,REF10750014,Loan drawdown,amountDiff
STM00000010,GB29NWBK60161331926819,GB29NWBK60161331926819,HSBC,2026-03-28,2026-03-30,JPY,255765.99,D,Tax remittance,BNK382629476,REF83720628,Tax remittance,amountDiff
STM00000011,US123456789012345678,US123456789012345678,UBS,2026-02-23,2026-02-23,JPY,79899.42,C,Loan drawdown,BNK322119393,REF14120324,Loan drawdown,amountDiff
STM00000012,US123456789012345678,US123456789012345678,Standard Chartered,2026-02-19,2026-02-19,AUD,177106.22,C,Interest credit,BNK296703766,REF46677269,Interest credit,amountDiff
STM00000013,DE89370400440532013000,DE89370400440532013000,Wells Fargo,2026-01-05,2026-01-06,JPY,355176.74,D,Tax remittance,BNK142896665,REF68214315,Tax remittance,amountDiff
STM00000014,DE89370400440532013000,DE89370400440532013000,Credit Suisse,2026-03-27,2026-03-27,JPY,143721.45,D,Rent payment,BNK408487450,REF51798580,Rent payment,amountDiff
STM00000015,GB29NWBK60161331926819,GB29NWBK60161331926819,BNP Paribas,2026-02-23,2026-02-25,USD,424745.26,C,Wire transfer inbound,BNK235220452,REF86365007,Wire transfer inbound,amountDiff
STM00000016,DE89370400440532013000,DE89370400440532013000,UBS,2026-03-25,2026-03-26,JPY,276225.83,C,Dividend income,BNK974679103,REF61247291,Dividend income,amountDiff
STM00000017,US123456789012345678,US123456789012345678,Credit Suisse,2026-03-04,2026-03-09,AUD,127500.86,C,Trade settlement receipt,BNK191419956,REF51227789,Trade settlement receipt,amountDiff
STM00000018,US123456789012345678,US123456789012345678,Citibank,2026-02-12,2026-02-16,JPY,180554.37,C,Trade settlement receipt,BNK863154341,REF45480743,Trade settlement receipt,amountDiff
STM00000019,US123456789012345678,US123456789012345678,UBS,2026-01-16,2026-01-19,AUD,507750.54,D,Commission expense,BNK644111967,REF23910560,Commission expense,amountDiff
STM00000020,US123456789012345678,US123456789012345678,JP Morgan,2026-02-13,2026-02-13,CHF,8874.39,D,Loan repayment,BNK922420833,REF65404095,Loan repayment,amountDiff
