StatementID,BankAccountNumber,TransactionDate,ValueDate,Currency,Amount,DebitCreditIndicator,Description,BankReference,ReferenceNumber,MatchType
STM00000001,AU123456789012345,2026-02-14,2026-02-18,JPY,235386.10,D,Supplier payment,BNK605149486,REF12277954,manyToOne
STM00000002,FR7614508059144921279050070,2026-02-19,2026-02-20,USD,23708.09,D,Interest expense,BNK334382253,REF81278039,manyToOne
STM00000003,AU123456789012345,2026-02-19,2026-02-24,CAD,202221.02,C,Intercompany transfer in,BNK801992469,REF16027444,manyToOne
STM00000004,GB29NWBK60161331926819,2026-02-17,2026-02-18,EUR,455528.01,D,Insurance premium payment,BNK254066576,REF62979008,manyToOne
STM00000005,AU123456789012345,2026-02-01,2026-02-04,CHF,5489.29,C,Equity sale proceeds,BNK236277596,REF57901105,manyToOne
STM00000006,FR7614508059144921279050070,2026-01-21,2026-01-21,AUD,97810.77,D,Payroll disbursement,BNK142396628,REF76882160,manyToOne
STM00000007,AU123456789012345,2026-01-23,2026-01-23,GBP,318467.99,D,Insurance premium payment,BNK450796758,REF49865476,manyToOne
STM00000008,AU123456789012345,2026-03-22,2026-03-22,CHF,260434.58,C,Trade settlement receipt,BNK916458357,REF46728908,manyToOne
STM00000009,GB29NWBK60161331926819,2026-03-05,2026-03-10,CAD,159872.34,D,Service fee payment,BNK931411010,REF70000830,manyToOne
STM00000010,DE89370400440532013000,2026-03-17,2026-03-17,EUR,272503.82,D,Commission expense,BNK312130329,REF96568875,manyToOne
STM00000011,GB29NWBK60161331926819,2026-03-11,2026-03-11,GBP,53328.54,C,Payroll funding,BNK795694536,REF96877342,manyToOne
STM00000012,DE89370400440532013000,2026-02-01,2026-02-03,USD,352588.70,C,Customer advance payment,BNK630592484,REF50928386,manyToOne
STM00000013,AU123456789012345,2026-01-14,2026-01-16,AUD,383352.85,D,Utility payment,BNK942152591,REF26954331,manyToOne
STM00000014,AU123456789012345,2026-02-15,2026-02-17,GBP,77478.46,C,Dividend income,BNK175664542,REF44678511,manyToOne
STM00000015,US123456789012345678,2026-03-12,2026-03-16,EUR,349314.70,D,Cheque payment,BNK594694645,REF11355844,manyToOne
STM00000016,GB29NWBK60161331926819,2026-01-03,2026-01-05,CAD,421895.29,C,Invoice payment INV-6108,BNK346212699,REF89378260,manyToOne
STM00000017,DE89370400440532013000,2026-02-09,2026-02-12,CHF,196661.60,C,Deposit received,BNK701180615,REF71974227,manyToOne
STM00000018,US123456789012345678,2026-01-08,2026-01-08,CAD,370727.85,D,Rent payment,BNK837392705,REF38477570,manyToOne
STM00000019,US123456789012345678,2026-03-17,2026-03-19,JPY,199824.73,C,ACH credit settlement,BNK915812745,REF65264841,manyToOne
STM00000020,GB29NWBK60161331926819,2026-02-06,2026-02-09,CAD,82437.87,C,ACH credit settlement,BNK275982829,REF94616019,manyToOne
STM00000021,FR7614508059144921279050070,2026-03-20,2026-03-23,EUR,314320.92,C,Sales proceeds,BNK328575014,REF34389640,manyToOne
STM00000022,DE89370400440532013000,2026-03-19,2026-03-24,USD,199964.08,D,Insurance premium payment,BNK299977981,REF59679953,manyToOne
STM00000023,FR7614508059144921279050070,2026-01-26,2026-01-27,USD,299502.72,C,Refund received,BNK115051152,REF48809813,manyToOne
STM00000024,DE89370400440532013000,2026-03-13,2026-03-17,GBP,27968.59,D,Bond redemption,BNK918931412,REF43483587,manyToOne
STM00000025,DE89370400440532013000,2026-01-02,2026-01-07,GBP,246063.07,D,Invoice payment to vendor,BNK574134545,REF55391871,manyToOne
STM00000026,DE89370400440532013000,2026-01-07,2026-01-09,GBP,195323.18,D,Bond redemption,BNK644990879,REF90003684,manyToOne
STM00000027,DE89370400440532013000,2026-03-05,2026-03-09,AUD,40513.34,C,Grant proceeds,BNK802301768,REF45520632,manyToOne
STM00000028,DE89370400440532013000,2026-03-21,2026-03-23,JPY,479030.06,D,Commission expense,BNK984305931,REF14780578,manyToOne
STM00000029,DE89370400440532013000,2026-01-12,2026-01-12,AUD,113570.84,C,FX contract settlement,BNK971888123,REF65091210,manyToOne
STM00000030,GB29NWBK60161331926819,2026-02-01,2026-02-03,EUR,74183.87,C,Grant proceeds,BNK566926203,REF29606428,manyToOne
STM00000031,GB29NWBK60161331926819,2026-02-28,2026-02-28,JPY,272166.19,C,Trade settlement receipt,BNK535071811,REF49067528,manyToOne
STM00000032,DE89370400440532013000,2026-03-19,2026-03-19,CAD,187464.50,D,ACH debit settlement,BNK155041066,REF88372512,manyToOne
STM00000033,FR7614508059144921279050070,2026-03-17,2026-03-17,USD,67479.54,C,Interest credit,BNK857098540,REF55486258,manyToOne
STM00000034,FR7614508059144921279050070,2026-03-21,2026-03-23,CAD,69155.97,C,Loan drawdown,BNK325207352,REF57426049,manyToOne
STM00000035,GB29NWBK60161331926819,2026-01-07,2026-01-12,JPY,275417.82,C,SEPA credit transfer,BNK139427758,REF52286234,manyToOne
STM00000036,US123456789012345678,2026-03-09,2026-03-10,EUR,222814.30,C,Equity sale proceeds,BNK561311718,REF61874237,manyToOne
STM00000037,AU123456789012345,2026-01-26,2026-01-28,CAD,158148.37,C,Commission income,BNK403948230,REF46043593,manyToOne
STM00000038,FR7614508059144921279050070,2026-02-14,2026-02-14,EUR,440948.11,D,Payroll disbursement,BNK256128943,REF64424668,manyToOne
STM00000039,GB29NWBK60161331926819,2026-03-07,2026-03-10,JPY,357943.15,D,Rent payment,BNK687360400,REF16584842,manyToOne
STM00000040,US123456789012345678,2026-02-07,2026-02-11,JPY,114262.20,D,FX contract payment,BNK904176439,REF59665480,manyToOne
STM00000041,US123456789012345678,2026-01-19,2026-01-22,AUD,262437.54,C,Interest credit,BNK556074008,REF27632273,manyToOne
STM00000042,DE89370400440532013000,2026-01-30,2026-02-03,CAD,361959.58,C,ACH credit settlement,BNK236083667,REF69596968,manyToOne
STM00000043,AU123456789012345,2026-02-05,2026-02-09,CAD,20861.17,C,Interest credit,BNK941189821,REF47429689,manyToOne
STM00000044,DE89370400440532013000,2026-01-18,2026-01-21,USD,51047.36,D,ACH debit settlement,BNK518016264,REF84706895,manyToOne
STM00000045,AU123456789012345,2026-02-27,2026-03-02,USD,263301.21,C,Interest credit,BNK343698728,REF52261395,manyToOne
STM00000046,DE89370400440532013000,2026-01-28,2026-02-02,CAD,425368.63,D,FX contract payment,BNK935742458,REF64092640,manyToOne
STM00000047,GB29NWBK60161331926819,2026-02-09,2026-02-12,GBP,98170.35,C,Commission income,BNK819859915,REF44182749,manyToOne
STM00000048,FR7614508059144921279050070,2026-02-02,2026-02-03,JPY,126998.52,D,Interest expense,BNK245483212,REF62989606,manyToOne
STM00000049,DE89370400440532013000,2026-03-03,2026-03-06,CAD,113708.94,C,Interest credit,BNK534875663,REF78785352,manyToOne
STM00000050,FR7614508059144921279050070,2026-03-05,2026-03-05,EUR,394211.28,C,SEPA credit transfer,BNK126963479,REF33575493,manyToOne
