StatementID,BankAccountNumber,TransactionDate,ValueDate,Currency,Amount,DebitCreditIndicator,Description,BankReference,ReferenceNumber,MatchType
STM00000001,FR7614508059144921279050070,2026-03-24,2026-03-27,GBP,122306.54,D,Payroll disbursement,BNK511071426,REF65070644,perfect
STM00000002,DE89370400440532013000,2026-03-03,2026-03-06,GBP,113173.00,C,Payroll funding,BNK725317237,REF89613034,perfect
STM00000003,US123456789012345678,2026-02-27,2026-03-03,EUR,35885.94,D,Loan repayment,BNK373053947,REF76438196,perfect
STM00000004,AU123456789012345,2026-03-26,2026-03-30,CAD,348445.57,C,Customer advance payment,BNK711590482,REF29675408,perfect
STM00000005,GB29NWBK60161331926819,2026-02-04,2026-02-04,CHF,452797.88,C,Commission income,BNK721856384,REF25747368,perfect
STM00000006,AU123456789012345,2026-01-25,2026-01-26,USD,386643.53,D,Equipment purchase,BNK714659668,REF12804794,perfect
STM00000007,FR7614508059144921279050070,2026-01-20,2026-01-22,EUR,142546.35,C,Interest credit,BNK710067459,REF18845383,perfect
STM00000008,GB29NWBK60161331926819,2026-02-21,2026-02-25,EUR,213081.04,D,Service fee payment,BNK278086700,REF44423546,perfect
STM00000009,AU123456789012345,2026-02-26,2026-02-27,CAD,43652.84,C,Intercompany transfer in,BNK478403764,REF32257078,perfect
STM00000010,US123456789012345678,2026-01-03,2026-01-05,AUD,219438.26,D,Equipment purchase,BNK364201985,REF20862716,perfect
STM00000011,FR7614508059144921279050070,2026-01-15,2026-01-20,AUD,39317.54,C,Loan drawdown,BNK569668693,REF54897838,perfect
STM00000012,FR7614508059144921279050070,2026-01-24,2026-01-27,CAD,96538.63,C,Trade settlement receipt,BNK688077850,REF91372396,perfect
STM00000013,FR7614508059144921279050070,2026-03-18,2026-03-18,GBP,429022.12,D,FX contract payment,BNK661220051,REF59729550,perfect
STM00000014,AU123456789012345,2026-03-01,2026-03-02,CHF,234586.74,D,Commission expense,BNK617544563,REF60494508,perfect
STM00000015,GB29NWBK60161331926819,2026-02-28,2026-03-03,CHF,411806.51,D,Supplier payment,BNK399016315,REF47972525,perfect
STM00000016,DE89370400440532013000,2026-02-22,2026-02-24,CAD,96366.16,C,FX contract settlement,BNK332611945,REF45666267,perfect
STM00000017,AU123456789012345,2026-02-19,2026-02-20,JPY,145188.61,D,Tax remittance,BNK520274193,REF97221555,perfect
STM00000018,FR7614508059144921279050070,2026-03-06,2026-03-06,JPY,359498.98,C,Dividend income,BNK868477392,REF31101438,perfect
STM00000019,AU123456789012345,2026-03-07,2026-03-10,GBP,498744.75,D,Utility payment,BNK524551264,REF32032649,perfect
STM00000020,FR7614508059144921279050070,2026-03-05,2026-03-05,CAD,215608.84,D,Tax remittance,BNK905874208,REF64348636,perfect
STM00000021,US123456789012345678,2026-03-29,2026-03-31,JPY,198738.19,C,Refund received,BNK116024232,REF48904906,perfect
STM00000022,AU123456789012345,2026-01-05,2026-01-06,GBP,132354.33,C,FX contract settlement,BNK356976929,REF27101444,perfect
