StatementID,BankAccountNumber,TransactionDate,ValueDate,Currency,Amount,DebitCreditIndicator,Description,BankReference,ReferenceNumber,MatchType
STM00000001,FR7614508059144921279050070,2026-03-16,2026-03-18,JPY,26715.82,D,Interest expense,BNK493773391,REF87148913,oneToMany
STM00000002,FR7614508059144921279050070,2026-03-16,2026-03-18,JPY,30811.10,D,Commission expense,BNK575220880,REF87148913,oneToMany
STM00000003,FR7614508059144921279050070,2026-03-16,2026-03-18,JPY,35533.76,D,ACH debit settlement,BNK939147661,REF87148913,oneToMany
STM00000004,AU123456789012345,2026-02-23,2026-02-26,EUR,142235.29,C,Sales proceeds,BNK509528159,REF11377901,oneToMany
STM00000005,AU123456789012345,2026-02-23,2026-02-26,EUR,160730.61,C,Intercompany transfer in,BNK652065461,REF11377901,oneToMany
STM00000006,AU123456789012345,2026-02-23,2026-02-26,EUR,117089.89,C,Interest credit,BNK625824491,REF11377901,oneToMany
STM00000007,GB29NWBK60161331926819,2026-02-09,2026-02-09,USD,91131.70,C,Grant proceeds,BNK541163772,REF25588271,oneToMany
STM00000008,GB29NWBK60161331926819,2026-02-09,2026-02-09,USD,104650.61,C,ACH credit settlement,BNK836252502,REF25588271,oneToMany
STM00000009,GB29NWBK60161331926819,2026-02-09,2026-02-09,USD,144857.49,C,Commission income,BNK578039295,REF25588271,oneToMany
STM00000010,AU123456789012345,2026-02-09,2026-02-12,CHF,45252.09,D,Trade settlement payment,BNK747405683,REF64824936,oneToMany
STM00000011,AU123456789012345,2026-02-09,2026-02-12,CHF,63056.16,D,Tax remittance,BNK528896275,REF64824936,oneToMany
STM00000012,AU123456789012345,2026-02-09,2026-02-12,CHF,50056.09,D,Supplier payment,BNK605196353,REF64824936,oneToMany
STM00000013,FR7614508059144921279050070,2026-03-04,2026-03-05,GBP,99253.88,C,Grant proceeds,BNK492335648,REF43762550,oneToMany
STM00000014,FR7614508059144921279050070,2026-03-04,2026-03-05,GBP,115524.00,C,Intercompany transfer in,BNK563990161,REF43762550,oneToMany
STM00000015,FR7614508059144921279050070,2026-03-04,2026-03-05,GBP,149335.04,C,SEPA credit transfer,BNK278290496,REF43762550,oneToMany
STM00000016,GB29NWBK60161331926819,2026-03-28,2026-03-31,CHF,132670.92,C,Equity sale proceeds,BNK279544905,REF82759257,oneToMany
STM00000017,GB29NWBK60161331926819,2026-03-28,2026-03-31,CHF,202989.79,C,ACH credit settlement,BNK799038601,REF82759257,oneToMany
STM00000018,GB29NWBK60161331926819,2026-03-28,2026-03-31,CHF,140409.59,C,Commission income,BNK847830357,REF82759257,oneToMany
STM00000019,DE89370400440532013000,2026-01-21,2026-01-21,EUR,45968.55,D,Utility payment,BNK142197353,REF65771686,oneToMany
STM00000020,DE89370400440532013000,2026-01-21,2026-01-21,EUR,69271.55,D,Supplier payment,BNK311762643,REF65771686,oneToMany
STM00000021,DE89370400440532013000,2026-01-21,2026-01-21,EUR,52818.09,D,Utility payment,BNK806811747,REF65771686,oneToMany
STM00000022,GB29NWBK60161331926819,2026-03-17,2026-03-17,CHF,43689.26,C,Commission income,BNK749372140,REF75079045,oneToMany
STM00000023,GB29NWBK60161331926819,2026-03-17,2026-03-17,CHF,52271.81,C,Customer payment received,BNK386647183,REF75079045,oneToMany
STM00000024,GB29NWBK60161331926819,2026-03-17,2026-03-17,CHF,50291.20,C,Grant proceeds,BNK308261494,REF75079045,oneToMany
STM00000025,DE89370400440532013000,2026-03-02,2026-03-04,GBP,12181.91,C,Deposit received,BNK404713569,REF63087022,oneToMany
STM00000026,DE89370400440532013000,2026-03-02,2026-03-04,GBP,11274.77,C,Intercompany transfer in,BNK483345371,REF63087022,oneToMany
STM00000027,DE89370400440532013000,2026-03-02,2026-03-04,GBP,7944.39,C,Payroll funding,BNK825165672,REF63087022,oneToMany
STM00000028,FR7614508059144921279050070,2026-02-02,2026-02-02,AUD,65649.18,D,Trade settlement payment,BNK649006930,REF10503048,oneToMany
STM00000029,FR7614508059144921279050070,2026-02-02,2026-02-02,AUD,47443.06,D,ACH debit settlement,BNK143753129,REF10503048,oneToMany
STM00000030,FR7614508059144921279050070,2026-02-02,2026-02-02,AUD,62097.87,D,Bond redemption,BNK809712113,REF10503048,oneToMany
STM00000031,US123456789012345678,2026-03-28,2026-03-30,CAD,58147.09,C,Sales proceeds,BNK717425357,REF84741387,oneToMany
STM00000032,US123456789012345678,2026-03-28,2026-03-30,CAD,85548.91,C,Payroll funding,BNK673486527,REF84741387,oneToMany
STM00000033,US123456789012345678,2026-03-28,2026-03-30,CAD,65258.91,C,Grant proceeds,BNK363772112,REF84741387,oneToMany
STM00000034,DE89370400440532013000,2026-03-06,2026-03-06,CAD,60073.33,D,Trade settlement payment,BNK690997366,REF31031467,oneToMany
STM00000035,DE89370400440532013000,2026-03-06,2026-03-06,CAD,58957.69,D,Payroll disbursement,BNK277494986,REF31031467,oneToMany
STM00000036,DE89370400440532013000,2026-03-06,2026-03-06,CAD,49513.22,D,Trade settlement payment,BNK478241032,REF31031467,oneToMany
STM00000037,GB29NWBK60161331926819,2026-01-21,2026-01-26,JPY,135121.76,D,Wire transfer outbound,BNK975889093,REF75199084,oneToMany
STM00000038,GB29NWBK60161331926819,2026-01-21,2026-01-26,JPY,158265.53,D,Trade settlement payment,BNK483080614,REF75199084,oneToMany
STM00000039,GB29NWBK60161331926819,2026-01-21,2026-01-26,JPY,119070.81,D,Supplier payment,BNK842304378,REF75199084,oneToMany
STM00000040,AU123456789012345,2026-02-14,2026-02-18,GBP,135292.13,D,Equipment purchase,BNK796112162,REF42527708,oneToMany
STM00000041,AU123456789012345,2026-02-14,2026-02-18,GBP,125702.08,D,Cheque payment,BNK964101743,REF42527708,oneToMany
STM00000042,AU123456789012345,2026-02-14,2026-02-18,GBP,159750.59,D,Utility payment,BNK611255070,REF42527708,oneToMany
STM00000043,AU123456789012345,2026-02-19,2026-02-20,JPY,124343.28,C,FX contract settlement,BNK895930096,REF69661504,oneToMany
STM00000044,AU123456789012345,2026-02-19,2026-02-20,JPY,115439.16,C,Trade settlement receipt,BNK785141695,REF69661504,oneToMany
STM00000045,AU123456789012345,2026-02-19,2026-02-20,JPY,132506.55,C,Equity sale proceeds,BNK118323473,REF69661504,oneToMany
STM00000046,AU123456789012345,2026-03-15,2026-03-16,CAD,41875.98,C,Dividend income,BNK119500755,REF97057065,oneToMany
STM00000047,AU123456789012345,2026-03-15,2026-03-16,CAD,43359.82,C,Loan drawdown,BNK497519724,REF97057065,oneToMany
STM00000048,AU123456789012345,2026-03-15,2026-03-16,CAD,60698.62,C,ACH credit settlement,BNK125494767,REF97057065,oneToMany
STM00000049,FR7614508059144921279050070,2026-01-22,2026-01-23,AUD,84784.13,C,Loan drawdown,BNK758781067,REF61418453,oneToMany
STM00000050,FR7614508059144921279050070,2026-01-22,2026-01-23,AUD,87885.97,C,Equity sale proceeds,BNK464571796,REF61418453,oneToMany
STM00000051,FR7614508059144921279050070,2026-01-22,2026-01-23,AUD,74974.30,C,Interest credit,BNK988474346,REF61418453,oneToMany
STM00000052,DE89370400440532013000,2026-03-08,2026-03-09,EUR,90715.74,D,Loan repayment,BNK443740086,REF65974111,oneToMany
STM00000053,DE89370400440532013000,2026-03-08,2026-03-09,EUR,124079.67,D,Tax remittance,BNK205841022,REF65974111,oneToMany
STM00000054,DE89370400440532013000,2026-03-08,2026-03-09,EUR,108538.07,D,Intercompany transfer out,BNK858182560,REF65974111,oneToMany
STM00000055,US123456789012345678,2026-03-20,2026-03-20,GBP,98663.92,C,Intercompany transfer in,BNK934344709,REF20171698,oneToMany
STM00000056,US123456789012345678,2026-03-20,2026-03-20,GBP,81213.03,C,Trade settlement receipt,BNK282194483,REF20171698,oneToMany
STM00000057,US123456789012345678,2026-03-20,2026-03-20,GBP,83836.04,C,Invoice payment INV-5713,BNK637088888,REF20171698,oneToMany
STM00000058,AU123456789012345,2026-01-25,2026-01-26,GBP,64705.57,D,ACH debit settlement,BNK437605677,REF68532489,oneToMany
STM00000059,AU123456789012345,2026-01-25,2026-01-26,GBP,89400.57,D,Tax remittance,BNK853069237,REF68532489,oneToMany
STM00000060,AU123456789012345,2026-01-25,2026-01-26,GBP,73410.09,D,Tax remittance,BNK289037855,REF68532489,oneToMany
STM00000061,FR7614508059144921279050070,2026-03-03,2026-03-04,JPY,112534.90,C,Intercompany transfer in,BNK257836200,REF90017812,oneToMany
STM00000062,FR7614508059144921279050070,2026-03-03,2026-03-04,JPY,111450.25,C,Interest credit,BNK874882357,REF90017812,oneToMany
STM00000063,FR7614508059144921279050070,2026-03-03,2026-03-04,JPY,75268.50,C,Deposit received,BNK808892309,REF90017812,oneToMany
STM00000064,GB29NWBK60161331926819,2026-01-17,2026-01-21,AUD,90862.48,D,Tax remittance,BNK327888245,REF57276893,oneToMany
STM00000065,GB29NWBK60161331926819,2026-01-17,2026-01-21,AUD,93243.64,D,Intercompany transfer out,BNK596319967,REF57276893,oneToMany
STM00000066,GB29NWBK60161331926819,2026-01-17,2026-01-21,AUD,81856.64,D,Interest expense,BNK352318893,REF57276893,oneToMany
STM00000067,FR7614508059144921279050070,2026-02-27,2026-03-02,EUR,94400.63,D,Commission expense,BNK296965073,REF72833284,oneToMany
STM00000068,FR7614508059144921279050070,2026-02-27,2026-03-02,EUR,76663.16,D,Wire transfer outbound,BNK333807014,REF72833284,oneToMany
STM00000069,FR7614508059144921279050070,2026-02-27,2026-03-02,EUR,100719.25,D,Interest expense,BNK922431328,REF72833284,oneToMany
STM00000070,US123456789012345678,2026-02-01,2026-02-04,AUD,83109.79,D,Interest expense,BNK608752588,REF56996174,oneToMany
STM00000071,US123456789012345678,2026-02-01,2026-02-04,AUD,76556.48,D,Payroll disbursement,BNK106863616,REF56996174,oneToMany
STM00000072,US123456789012345678,2026-02-01,2026-02-04,AUD,105380.31,D,Bond redemption,BNK494137727,REF56996174,oneToMany
STM00000073,GB29NWBK60161331926819,2026-01-25,2026-01-26,USD,135292.03,D,ACH debit settlement,BNK408115218,REF74512276,oneToMany
STM00000074,GB29NWBK60161331926819,2026-01-25,2026-01-26,USD,165695.33,D,Supplier payment,BNK240524250,REF74512276,oneToMany
STM00000075,GB29NWBK60161331926819,2026-01-25,2026-01-26,USD,164509.15,D,FX contract payment,BNK195830008,REF74512276,oneToMany
STM00000076,DE89370400440532013000,2026-01-13,2026-01-15,GBP,39759.51,C,Loan drawdown,BNK791299309,REF46814278,oneToMany
