StatementID,BankAccountNumber,TransactionDate,ValueDate,Currency,Amount,DebitCreditIndicator,Description,BankReference,ReferenceNumber,MatchType
STM00000001,DE89370400440532013000,2026-01-31,2026-01-31,USD,251803.79,D,Loan repayment,BNK753601497,REF57301268,perfect
STM00000002,AU123456789012345,2026-01-09,2026-01-14,USD,277391.57,D,Utility payment,BNK172923849,REF45162373,perfect
STM00000003,US123456789012345678,2026-01-31,2026-02-04,CHF,2158.78,D,Insurance premium payment,BNK211995253,REF78179205,perfect
STM00000004,US123456789012345678,2026-02-07,2026-02-09,GBP,261628.66,D,Cheque payment,BNK238031485,REF31800109,perfect
STM00000005,FR7614508059144921279050070,2026-01-02,2026-01-05,USD,389146.49,D,FX contract payment,BNK978957548,REF67901144,perfect
STM00000006,AU123456789012345,2026-03-01,2026-03-04,CAD,81674.82,D,Loan repayment,BNK540935353,REF94370378,perfect
STM00000007,DE89370400440532013000,2026-03-30,2026-03-31,USD,251908.99,C,Wire transfer inbound,BNK823979702,REF20084796,perfect
STM00000008,US123456789012345678,2026-03-11,2026-03-12,GBP,456732.51,C,Dividend income,BNK479689229,REF73933539,perfect
STM00000009,FR7614508059144921279050070,2026-02-26,2026-02-27,AUD,17736.88,D,FX contract payment,BNK914121497,REF30518525,perfect
STM00000010,US123456789012345678,2026-03-20,2026-03-23,CHF,73149.06,D,Utility payment,BNK836345085,REF81290220,perfect
