StatementID,BankAccount,IBAN,BankName,TxnDate,ValueDate,Currency,Amount,DebitCreditIndicator,Description,BankReference,EndToEndRef,RemittanceInfo,MatchType
STM00000001,US123456789012345678,US123456789012345678,Westpac,2026-01-12,2026-01-12,EUR,307967.69,D,Equipment purchase,BNK365108071,REF55563720,Equipment purchase,perfect
STM00000002,DE89370400440532013000,DE89370400440532013000,BNP Paribas,2026-03-11,2026-03-11,AUD,459073.94,D,Invoice payment to vendor,BNK799570340,REF68087285,Invoice payment to vendor,perfect
STM00000003,AU123456789012345,AU123456789012345,ANZ,2026-01-24,2026-01-28,USD,258842.81,D,Cheque payment,BNK849901856,REF85916991,Cheque payment,perfect
STM00000004,FR7614508059144921279050070,FR7614508059144921279050070,HSBC,2026-01-21,2026-01-23,AUD,287053.41,D,Payroll disbursement,BNK564991406,REF96117243,Payroll disbursement,perfect
STM00000005,DE89370400440532013000,DE89370400440532013000,Standard Chartered,2026-01-04,2026-01-07,JPY,52425.63,D,Supplier payment,BNK926934667,REF11819731,Supplier payment,perfect
STM00000006,DE89370400440532013000,DE89370400440532013000,Deutsche Bank,2026-02-22,2026-02-25,JPY,407685.14,D,Bond redemption,BNK411181635,REF12249177,Bond redemption,perfect
STM00000007,FR7614508059144921279050070,FR7614508059144921279050070,UBS,2026-02-26,2026-02-26,EUR,406906.01,D,Supplier payment,BNK281018051,REF80664588,Supplier payment,perfect
STM00000008,US123456789012345678,US123456789012345678,Wells Fargo,2026-03-16,2026-03-17,JPY,208749.43,D,Insurance premium payment,BNK276039890,REF33791592,Insurance premium payment,perfect
STM00000009,US123456789012345678,US123456789012345678,UBS,2026-01-11,2026-01-11,CHF,322699.62,D,Equipment purchase,BNK396238562,REF52448824,Equipment purchase,perfect
STM00000010,US123456789012345678,US123456789012345678,Citibank,2026-02-16,2026-02-17,CHF,81784.45,C,Customer payment received,BNK898611890,REF11617727,Customer payment received,perfect
STM00000011,DE89370400440532013000,DE89370400440532013000,BNP Paribas,2026-03-14,2026-03-14,JPY,124838.76,D,Trade settlement payment,BNK320481792,REF30428937,Trade settlement payment,perfect
STM00000012,US123456789012345678,US123456789012345678,Wells Fargo,2026-01-18,2026-01-18,CAD,377428.45,D,Cheque payment,BNK918934316,REF53088074,Cheque payment,perfect
STM00000013,US123456789012345678,US123456789012345678,BNP Paribas,2026-03-17,2026-03-19,CHF,129389.77,C,Bond coupon payment,BNK244149117,REF79465362,Bond coupon payment,perfect
STM00000014,GB29NWBK60161331926819,GB29NWBK60161331926819,ANZ,2026-02-25,2026-02-26,USD,349978.71,D,SEPA direct debit,BNK720191365,REF19629551,SEPA direct debit,perfect
STM00000015,GB29NWBK60161331926819,GB29NWBK60161331926819,Westpac,2026-03-15,2026-03-18,AUD,256448.34,C,Loan drawdown,BNK129074171,REF82672280,Loan drawdown,perfect
STM00000016,AU123456789012345,AU123456789012345,Barclays,2026-01-02,2026-01-07,GBP,342911.75,C,Trade settlement receipt,BNK772678892,REF91719099,Trade settlement receipt,perfect
STM00000017,US123456789012345678,US123456789012345678,UBS,2026-02-21,2026-02-24,CHF,136969.37,D,Utility payment,BNK866497822,REF93448208,Utility payment,perfect
STM00000018,FR7614508059144921279050070,FR7614508059144921279050070,Societe Generale,2026-02-13,2026-02-13,JPY,469771.73,D,Service fee payment,BNK455104528,REF91815064,Service fee payment,perfect
STM00000019,GB29NWBK60161331926819,GB29NWBK60161331926819,Citibank,2026-02-07,2026-02-11,GBP,479660.73,D,Loan repayment,BNK160212196,REF44263035,Loan repayment,perfect
STM00000020,FR7614508059144921279050070,FR7614508059144921279050070,Wells Fargo,2026-02-23,2026-02-25,CAD,191697.88,D,SEPA direct debit,BNK504196139,REF96195103,SEPA direct debit,perfect
STM00000021,AU123456789012345,AU123456789012345,Standard Chartered,2026-02-01,2026-02-01,AUD,121877.63,C,Dividend income,BNK188568235,REF13669161,Dividend income,perfect
STM00000022,GB29NWBK60161331926819,GB29NWBK60161331926819,BNP Paribas,2026-02-13,2026-02-16,JPY,294926.31,D,Equipment purchase,BNK482771591,REF67129133,Equipment purchase,perfect
STM00000023,DE89370400440532013000,DE89370400440532013000,Barclays,2026-03-17,2026-03-17,CHF,127993.06,D,Supplier payment,BNK724875688,REF44494417,Supplier payment,perfect
STM00000024,DE89370400440532013000,DE89370400440532013000,Wells Fargo,2026-03-05,2026-03-06,AUD,408012.42,C,FX contract settlement,BNK779893774,REF76609770,FX contract settlement,perfect
STM00000025,FR7614508059144921279050070,FR7614508059144921279050070,Citibank,2026-02-25,2026-02-27,USD,32082.44,C,Commission income,BNK790028444,REF11726106,Commission income,perfect
STM00000026,FR7614508059144921279050070,FR7614508059144921279050070,Citibank,2026-02-22,2026-02-23,GBP,259133.70,C,Grant proceeds,BNK617330733,REF12074929,Grant proceeds,perfect
STM00000027,DE89370400440532013000,DE89370400440532013000,Deutsche Bank,2026-02-04,2026-02-05,USD,286213.48,D,Interest expense,BNK753463931,REF71844812,Interest expense,perfect
STM00000028,DE89370400440532013000,DE89370400440532013000,HSBC,2026-01-09,2026-01-09,GBP,291612.35,C,Customer advance payment,BNK795880412,REF12107517,Customer advance payment,perfect
STM00000029,AU123456789012345,AU123456789012345,Credit Suisse,2026-01-12,2026-01-15,GBP,257130.04,D,Tax remittance,BNK685213274,REF33907406,Tax remittance,perfect
STM00000030,US123456789012345678,US123456789012345678,Standard Chartered,2026-01-06,2026-01-06,CAD,273329.92,D,Payroll disbursement,BNK853284899,REF30413547,Payroll disbursement,perfect
