StatementID	BankAccountNumber	TransactionDate	ValueDate	Currency	Amount	DebitCreditIndicator	Description	BankReference	ReferenceNumber	MatchType
STM00000001	GB29NWBK60161331926819	2026-02-24	2026-02-26	JPY	380166.35	C	Grant proceeds	BNK179891993	REF48721148	perfect
STM00000002	AU123456789012345	2026-03-01	2026-03-04	AUD	236442.71	D	SEPA direct debit	BNK874627546	REF19437007	perfect
STM00000003	GB29NWBK60161331926819	2026-01-14	2026-01-16	CAD	133597.19	D	Interest expense	BNK162368101	REF85620639	perfect
STM00000004	AU123456789012345	2026-03-20	2026-03-25	USD	62822.70	D	Loan repayment	BNK675826973	REF27377431	perfect
STM00000005	GB29NWBK60161331926819	2026-01-06	2026-01-07	GBP	96539.16	C	Customer payment received	BNK917079540	REF76257826	perfect
STM00000006	FR7614508059144921279050070	2026-01-29	2026-02-03	CAD	200775.30	D	Bond redemption	BNK324265823	REF43039478	perfect
STM00000007	GB29NWBK60161331926819	2026-03-10	2026-03-12	CHF	432135.56	C	Commission income	BNK960615863	REF87261314	perfect
STM00000008	FR7614508059144921279050070	2026-03-11	2026-03-12	GBP	262012.62	D	FX contract payment	BNK764340962	REF33022156	perfect
STM00000009	DE89370400440532013000	2026-02-28	2026-02-28	JPY	345657.48	D	Insurance premium payment	BNK636775541	REF45625222	perfect
STM00000010	AU123456789012345	2026-01-12	2026-01-14	GBP	135338.33	C	Customer payment received	BNK335420052	REF39099781	perfect
STM00000011	FR7614508059144921279050070	2026-01-29	2026-02-03	USD	464785.06	D	Supplier payment	BNK932450421	REF85802486	perfect
STM00000012	FR7614508059144921279050070	2026-02-08	2026-02-10	AUD	237069.67	C	ACH credit settlement	BNK227306773	REF45044933	perfect
STM00000013	AU123456789012345	2026-01-26	2026-01-27	CHF	343461.32	C	Refund received	BNK414849468	REF86937655	perfect
STM00000014	US123456789012345678	2026-01-02	2026-01-07	GBP	96972.06	C	Grant proceeds	BNK601891716	REF89950997	perfect
STM00000015	DE89370400440532013000	2026-02-28	2026-02-28	CAD	20944.52	C	Intercompany transfer in	BNK507306171	REF62847310	perfect
STM00000016	US123456789012345678	2026-01-18	2026-01-20	GBP	352016.21	C	Payroll funding	BNK644563780	REF12990732	perfect
STM00000017	FR7614508059144921279050070	2026-03-03	2026-03-03	EUR	390031.46	C	ACH credit settlement	BNK399975261	REF25084030	perfect
STM00000018	FR7614508059144921279050070	2026-02-07	2026-02-09	CHF	279545.44	D	Interest expense	BNK733503999	REF89006274	perfect
STM00000019	US123456789012345678	2026-03-28	2026-04-01	CHF	449622.25	D	Trade settlement payment	BNK505970032	REF24866430	perfect
STM00000020	GB29NWBK60161331926819	2026-03-19	2026-03-20	USD	393713.55	D	Insurance premium payment	BNK184637623	REF85773153	perfect
